Departamento;Poblacion;Numero de establecimientos penitenciarios;Sexo_F;Sexo_M;Sin nivel;Educacion inicial;Primaria completa;Primaria incompleta;Secund. completa;Secund. incompleta;Sup. no universitaria completa;Sup. no universitaria incompleta;Sup. universitaria completa;Sup. universitaria incompleta;Postgrado;no aplica;Delitos contra el patrimonio;Delitos contra la seguridad publica;Delitos contra la libertad;Delitos contra la vida, el cuerpo y la salud;Delitos contra la familia;Delitos contra la administracion publica;Delitos contra la tranquilidad publica;Delitos contra el orden fi nciero y monetario;Delitos contra la fe publica;Delitos tributarios;Delitos contra la confianza y la bue  fe en los negocios;Delitos contra la humanidad;OTROS 1/;Edad-18-19;Edad-20-24;Edad-25-29;Edad-30-34;Edad-35-39;Edad-40-44;Edad-45-49;Edad-50-59;Edad-60 a mas
AMAZONAS;379384;2;35;824;35;3;139;265;165;184;24;16;16;9; ;3;309;140;247;127;21;12;1;1;1; ; ; ; ;8;94;156;144;124;115;86;91;41
ANCASH;1083519;2;156;3179;3;3;316;529;834;1164;125;87;73;98;9;13;1384;696;785;276;110;42;23;7;9;1;1; ; ;49;438;632;574;502;372;298;330;140
APURIMAC;405759;2;61;549;21; ;65;128;166;168;15;13;16;16; ;2;154;204;154;78;15;6; ; ; ; ; ; ; ;11;98;103;105;89;75;51;54;24
AREQUIPA;1382730;3;158;2226;48; ;167;310;693;659;159;127;82;97;2;40;1009;353;646;218;73;30;15;4;17;4;2; ;9;30;281;371;418;387;299;234;252;112
AYACUCHO;616176;2;192;2347;89;5;284;527;638;733;88;62;46;53;1;13;496;1301;514;163;24;12;11;1;3;3; ; ; ;36;343;439;464;394;308;242;216;97
CAJAMARCA;1341012;4;107;1867;110;3;341;441;416;399;70;44;43;47;3;59;723;314;453;387;54;23;15;2;5; ; ; ; ;24;229;380;348;299;226;168;211;89
CALLAO;994494;1; ;3199;16;4;196;227;869;990;102;92;59;65;1;580;1232;1436;277;208;14;14;7;10;1;1; ; ;1;48;603;690;529;371;274;250;299;135
CUZCO;1205527;3;186;2586;70;3;230;530;801;727;91;102;65;107;2;44;878;737;858;233;12;35;3;9;7; ; ; ; ;42;403;501;452;412;324;236;289;113
HUANCAVELICA;347639;1;9;191;3; ;22;39;54;42;17;6;10;6;1;  ;42;16;92;26;16;6; ;2; ; ; ; ; ;7;25;36;27;23;22;16;25;19
HUANUCO;721047;1;162;2392;145;8;290;643;564;650;57;59;53;75; ;10;719;848;682;221;20;24;31;1;4; ; ; ; ;37;302;432;394;409;332;233;306;109
ICA;850765;2;302;4971;72;3;312;578;1665;1831;236;233;120;161;6; ;2357;1143;1098;368;180;76;20;11;10;7;2;1;1;95;767;967;964;735;613;484;468;180
JUNIN;1246038;7;180;2861;84;14;320;613;803;840;90;78;120;12; ; ;821;761;942;307;155;20;21;2;7;1; ; ;2;34;368;527;559;413;396;276;320;148
LA LIBERTAD;1778080;2;283;4471;124;9;589;905;1084;1518;154;159;79;105;4; ;2395;974;680;363;120;27;167;3;15;2;3; ; ;114;984;1003;852;575;442;322;332;130
LAMBAYEQUE;1197260;1;163;3000;94;5;373;548;791;999;103;94;57;71;6; ;1653;533;507;280;74;33;40;1;20;1;2; ;11;64;486;621;541;450;346;277;293;85
LIMA;17769310;10;1884;24140;281;29;1740;2873;7452;9391;979;962;601;758;34;;12492;6385;3766;1954;404;237;542;88;90;8;7;6;36;364;3848;4752;4598;3794;2951;2222;2511;984
LORETO;36885495;3;74;1172;53;1;136;259;285;351;36;38;16;31;1;39;350;384;399;97;4;9;1; ;1; ;1; ; ;16;183;169;187;170;154;132;152;83
MADRE DE DIOS;8530054;1; ;712;11;3;70;115;195;219;27;16;22;19; ;15;170;202;257;54;18;8;1; ;2; ; ; ; ;6;95;112;116;107;89;64;81;42
MOQUEGUA;1573397;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;820;224;88;139;6;24; ;1;6;2; ;4; ; ; ; ; ; ; ; ; ; 
PASCO;2531959;2;14;181;4;1;10;26;81;39;6;5;13;9;1; ;85;9;38;44;12;4; ;3; ; ; ; ; ;6;24;39;37;26;22;20;16;5
PIURA;3589249;1;94;3098;84;1;310;619;805;1000;123;134;35;54;4;23;1637;677;483;265;90;10;21;2;4; ;2;1; ;63;536;665;577;441;308;210;285;107
PUNO;1172697;3;190;1597;37;2;200;298;556;403;66;51;69;85; ;20;1289;707;152;469;31;77;2; ;5;2; ; ;14;24;150;223;302;295;304;195;211;83
SAN MARTIN;813381;4;62;2221;92;6;422;564;398;560;86;52;53;29;2;21;2491;293;341;347;106;61;6;4;15;13; ; ;15;24;246;362;378;347;297;230;300;99
TAC ;329332;3;110;992;24;2;75;156;314;335;45;35;23;41;2;50;1565;469;196;145;16;128;2;10;67;2;1; ;8;10;113;176;195;182;149;117;108;52
TUMBES;224863;1;37;823;27;83;156;201;297;23;21;11;10;1; ;30;1745;300;183;294;18;82;1;6;2;4; ; ;8;11;164;153;154;116;83;61;98;20
UCAYALI;496459;1;104;1949;65;1;207;413;456;690;60;73;21;41; ;26;3625;596;326;271;94;57;1;3;10;2; ; ;15;39;342;359;331;289;220;158;221;94
